tool	CPAchecker 1.9	CPAchecker 1.9	CPAchecker 1.9	CPAchecker 1.9
run set	cpa-symexA.sv-comp18	cpa-symexA.sv-comp18	cpa-symexA.sv-comp18	cpa-symexA.sv-comp18
../sv-benchmarks/c/	status	cputime (s)	walltime (s)	memory (MB)
array-examples/standard_init5_true-unreach-call_ground.i	TIMEOUT	901.18343722	896.726199605008	306.917376
array-examples/standard_init6_true-unreach-call_ground.i	TIMEOUT	901.35185876	896.517808764998	314.6752
array-examples/standard_init7_true-unreach-call_ground.i	TIMEOUT	901.035409349	896.751441048022	287.735808
array-examples/standard_init8_true-unreach-call_ground.i	TIMEOUT	901.062189346	896.854194860993	279.30624
array-examples/standard_init9_true-unreach-call_ground.i	TIMEOUT	901.16102406	896.710187901015	303.587328
array-examples/standard_maxInArray_true-unreach-call_ground.i	TIMEOUT	901.037527428	870.652538672992	977.993728
array-examples/standard_minInArray_true-unreach-call_ground.i	TIMEOUT	901.212588578	867.135700178013	1039.52384
array-examples/standard_palindrome_true-unreach-call_ground.i	TIMEOUT	900.929793288	896.279059352004	278.028288
array-examples/standard_partial_init_true-unreach-call_ground.i	TIMEOUT	900.821692011	874.834707867005	711.090176
array-examples/standard_partition_original_true-unreach-call_ground.i	TIMEOUT	901.10573665	870.085492779006	1026.08896
array-examples/standard_partition_true-unreach-call_ground.i	TIMEOUT	901.129953827	869.464280796004	978.055168
array-examples/standard_password_true-unreach-call_ground.i	TIMEOUT	900.939164103	871.702856796008	986.525696
array-examples/standard_reverse_true-unreach-call_ground.i	TIMEOUT	901.015247049	896.791452163015	279.154688
array-examples/standard_running_true-unreach-call.i	TIMEOUT	901.207166306	868.03433978901	853.311488
array-examples/standard_sentinel_true-unreach-call_true-termination.i	TIMEOUT	900.124170919	787.354934103991	1488.71168
array-examples/standard_seq_init_true-unreach-call_ground.i	TIMEOUT	900.918818151	896.048960984015	314.073088
array-examples/standard_strcmp_true-unreach-call_ground.i	TIMEOUT	900.923559869	872.205066121009	1038.843904
array-examples/standard_strcpy_original_true-unreach-call.i	TIMEOUT	919.908591824	896.996532885009	719.93344
array-examples/standard_strcpy_true-unreach-call_ground.i	TIMEOUT	920.595930286	895.556344270997	727.69536
array-examples/standard_two_index_01_true-unreach-call.i	TIMEOUT	901.124044549	896.362943993008	286.957568
array-examples/standard_two_index_02_true-unreach-call.i	TIMEOUT	901.329160742	896.342634849018	318.529536
array-examples/standard_two_index_03_true-unreach-call.i	TIMEOUT	901.026130265	896.280871772004	276.21376
array-examples/standard_two_index_04_true-unreach-call.i	TIMEOUT	901.328918064	896.880939302006	277.77024
array-examples/standard_two_index_05_true-unreach-call.i	TIMEOUT	900.976232858	896.595371878997	315.31008
array-examples/standard_two_index_06_true-unreach-call.i	TIMEOUT	901.267001871	896.428706389997	298.262528
array-examples/standard_two_index_07_true-unreach-call.i	TIMEOUT	901.066776908	896.896010649012	283.578368
array-examples/standard_two_index_08_true-unreach-call.i	TIMEOUT	901.243360504	896.778122082004	316.3136
array-examples/standard_two_index_09_true-unreach-call.i	TIMEOUT	901.013541164	896.366844172997	310.444032
array-examples/standard_vararg_true-unreach-call_ground_true-termination.i	TIMEOUT	900.225411944	657.303949230001	1361.79712
array-examples/standard_vector_difference_true-unreach-call_ground.i	TIMEOUT	900.918237683	896.581911754998	282.05056
array-industry-pattern/array_assert_loop_dep_false-unreach-call_true-termination.i	TIMEOUT	901.231601079	897.035490199982	287.092736
array-industry-pattern/array_of_struct_loop_dep_false-unreach-call.i	TIMEOUT	901.144453346	896.278437950008	284.004352
array-industry-pattern/array_ptr_single_elem_init_false-unreach-call_true-termination.i	TIMEOUT	901.617829813	728.569483540981	672.735232
array-industry-pattern/array_range_init_false-unreach-call.i	TIMEOUT	901.100327089	894.56242538098	332.488704
array-industry-pattern/array_single_elem_init_false-unreach-call_true-termination.i	TIMEOUT	901.652725322	711.892920373997	670.98624
array-industry-pattern/check_removal_from_set_after_insertion_false-unreach-call.i	TIMEOUT	905.35632333	572.434124324005	1945.915392
array-industry-pattern/array_monotonic_true-unreach-call_true-termination.i	TIMEOUT	901.346690243	772.769903820998	695.31648
array-industry-pattern/array_mul_init_true-unreach-call_true-termination.i	TIMEOUT	901.019330698	896.474892133003	284.598272
array-industry-pattern/array_of_struct_break_true-unreach-call.i	TIMEOUT	901.367955034	894.248887461028	339.156992
array-industry-pattern/array_of_struct_ptr_cond_init_true-unreach-call.i	TIMEOUT	901.165837893	894.635660104017	341.23776
array-industry-pattern/array_of_struct_ptr_flag_init_true-unreach-call.i	TIMEOUT	901.379244764	896.209279278992	285.855744
array-industry-pattern/array_of_struct_ptr_monotonic_true-unreach-call.i	TIMEOUT	901.197730803	894.741430323978	329.375744
array-industry-pattern/array_of_struct_ptr_mul_init_true-unreach-call.i	TIMEOUT	901.422180383	895.780742266012	330.0352
array-industry-pattern/array_of_struct_single_elem_init_true-unreach-call.i	TIMEOUT	901.023618005	867.31626179599	1247.248384
array-industry-pattern/array_ptr_partial_init_true-unreach-call.i	TIMEOUT	901.135556681	895.455998543999	324.276224
array-industry-pattern/array_ptr_single_elem_init_true-unreach-call.i	TIMEOUT	901.338688833	675.835583331995	889.491456
array-industry-pattern/array_shadowinit_true-unreach-call_true-termination.i	TIMEOUT	900.781240697	659.315083371999	806.453248
reducercommutativity/rangesum05_false-unreach-call_true-termination.i	false(unreach-call)	7.025240131	2.29405555399717	228.765696
reducercommutativity/rangesum10_false-unreach-call_true-termination.i	false(unreach-call)	9.011578304	2.60181736201048	251.539456
reducercommutativity/rangesum20_false-unreach-call.i	false(unreach-call)	14.261741417	4.34418473701226	462.340096
reducercommutativity/rangesum40_false-unreach-call.i	false(unreach-call)	22.267638244	6.5999348150217	619.421696
reducercommutativity/rangesum60_false-unreach-call.i	false(unreach-call)	27.446189987	8.94023054902209	824.221696
reducercommutativity/rangesum_false-unreach-call_true-termination.i	false(unreach-call)	10.315132194	3.5327700249909	314.175488
