   BENCHMARK INFORMATION
benchmark definition:    /u/wel2vw/cpa-symexA.xml
name:                    cpa-symexA
run sets:                sv-comp18
date:                    Sun, 2021-09-26 10:48:10 EDT
tool:                    CPAchecker 1.9
tool executable:         ./cpa.sh
options:                 -symbolicExecution -heap 10000M -benchmark -timelimit 900s
resource limits:
- memory:                15000.0 MB
- time:                  900 s
- cpu cores:             8
hardware requirements:
- cpu cores:             8
- memory:                15000.0 MB
------------------------------------------------------------

   SYSTEM INFORMATION
host:                    doppio01
os:                      Linux-3.10.0-1127.el7.x86_64-x86_64-with-glibc2.17
cpu:                     Intel Xeon Gold 6130 CPU @ 2.10GHz
- cores:                 64
- max frequency:         3700.0 MHz
- turbo boost enabled:   True
ram:                     134655.91398399998 MB
------------------------------------------------------------



sv-comp18
Run set 1 of 1 with options '-symbolicExecution -heap 10000M -benchmark -timelimit 900s' and propertyfile 'None'

inputfile                                                                                               status                    cpu time   wall time        host
ldv-regression/oomInt_true-termination.c_true-unreach-call_1.i                                          true                          3.53        1.37        None
ldv-regression/rule57_ebda_blast_true-termination.c_true-unreach-call_1.i                               true                          3.89        1.54        None
ldv-regression/rule60_list2_true-termination.c_true-unreach-call.i                                      true                          4.02        1.44        None
ldv-regression/rule60_list_true-termination.c_true-unreach-call.i                                       unknown                       5.88        1.88        None
ldv-regression/sizeofparameters_test_true-termination.c_true-unreach-call.i                             true                          3.54        1.32        None
ldv-regression/structure_assignment_true-termination.c_true-unreach-call.i                              unknown                       4.09        1.47        None
ldv-regression/test_address_true-termination.c_true-unreach-call.i                                      unknown                       4.96        1.77        None
ldv-regression/test_cut_trace_true-termination.c_true-unreach-call.i                                    true                          3.14        1.26        None
ldv-regression/test_malloc-1_true-unreach-call_true-termination.i                                       unknown                       5.30        1.92        None
ldv-regression/test_malloc-2_true-unreach-call_true-termination.i                                       unknown                       5.24        1.76        None
ldv-regression/test_overflow_true-termination.c_true-unreach-call.i                                     true                          3.95        1.38        None
ldv-regression/test_union_cast-1_true-unreach-call_true-termination.i                                   true                          3.32        1.27        None
ldv-regression/test_union_cast-2_true-unreach-call_true-termination.i                                   unknown                       4.14        1.48        None
ldv-regression/test_union_cast_true-termination.c_true-unreach-call.i                                   unknown                       4.04        1.48        None
ldv-regression/test_union_cast_true-termination.c_true-unreach-call_1.i                                 true                          3.40        1.28        None
ldv-regression/test_union_true-termination.c_true-unreach-call.i                                        true                          3.42        1.29        None
ldv-regression/test_union_true-termination.c_true-unreach-call_1.i                                      true                          3.25        1.24        None
ldv-regression/volatile_alias_true-termination.c_true-unreach-call.i                                    unknown                       3.96        1.44        None
ldv-regression/volatile_alias_true-termination.c_true-unreach-call_1.i                                  unknown                       4.01        1.49        None
ldv-regression/test02_false-unreach-call_true-termination.c                                             false(unreach-call)           4.03        1.48        None
ldv-regression/test06_false-unreach-call_true-termination.c                                             unknown                       4.21        1.56        None
ldv-regression/test08_false-unreach-call_true-termination.c                                             false(unreach-call)           4.51        1.63        None
ldv-regression/test12_false-unreach-call_true-termination.c                                             false(unreach-call)           3.90        1.47        None
ldv-regression/test21_false-unreach-call_true-termination.c                                             false(unreach-call)           4.69        1.72        None
ldv-regression/test22_false-unreach-call.c                                                              false(unreach-call)           5.93        2.10        None
ldv-regression/test23_false-unreach-call.c                                                              unknown                       5.68        1.95        None
ldv-regression/test24_false-unreach-call.c                                                              false(unreach-call)           5.54        1.94        None
ldv-regression/test25_false-unreach-call_true-termination.c                                             unknown                       5.00        1.73        None
ldv-regression/test26_false-unreach-call_true-termination.c                                             false(unreach-call)           4.15        1.49        None
ldv-regression/test27_false-unreach-call_true-termination.c                                             false(unreach-call)           5.26        1.93        None
ldv-regression/test28_false-unreach-call_true-termination.c                                             false(unreach-call)           4.25        1.70        None
ldv-regression/test29_false-unreach-call_true-termination.c                                             unknown                       4.74        1.77        None
ldv-regression/test30_false-unreach-call_true-termination.c                                             false(unreach-call)           4.16        1.50        None
ldv-regression/test01_true-unreach-call_true-termination.c                                              unknown                       4.14        1.49        None
ldv-regression/test03_true-unreach-call_true-termination.c                                              unknown                       4.14        1.48        None
ldv-regression/test04_true-unreach-call_true-termination.c                                              unknown                       3.96        1.48        None
ldv-regression/test05_true-unreach-call_true-termination.c                                              unknown                       4.47        1.59        None
ldv-regression/test07_true-unreach-call_true-termination.c                                              unknown                       4.54        1.63        None
ldv-regression/test09_true-unreach-call_true-termination.c                                              unknown                       4.41        1.63        None
ldv-regression/test10_true-unreach-call_true-termination.c                                              unknown                       4.40        1.58        None
ldv-regression/test11_true-unreach-call_true-termination.c                                              unknown                       5.51        1.86        None
ldv-regression/test13_true-unreach-call_true-termination.c                                              unknown                       4.24        1.55        None
ldv-regression/test14_true-unreach-call_true-termination.c                                              unknown                       4.81        1.75        None
