   BENCHMARK INFORMATION
benchmark definition:    /u/wel2vw/cpa-cegar.xml
name:                    cpa-cegar
run sets:                sv-comp18
date:                    Wed, 2021-09-22 16:01:03 EDT
tool:                    CPAchecker 1.9
tool executable:         ./cpa.sh
options:                 -valueAnalysis-Cegar -heap 10000M -benchmark -timelimit 900s
resource limits:
- memory:                15000.0 MB
- time:                  900 s
- cpu cores:             8
hardware requirements:
- cpu cores:             8
- memory:                15000.0 MB
------------------------------------------------------------

   SYSTEM INFORMATION
host:                    doppio03
os:                      Linux-3.10.0-1127.el7.x86_64-x86_64-with-glibc2.17
cpu:                     Intel Xeon Gold 6130 CPU @ 2.10GHz
- cores:                 64
- max frequency:         3700.0 MHz
- turbo boost enabled:   True
ram:                     134655.91808 MB
------------------------------------------------------------



sv-comp18
Run set 1 of 1 with options '-valueAnalysis-Cegar -heap 10000M -benchmark -timelimit 900s' and propertyfile 'None'

inputfile                                                                                                                                                                                                        status                    cpu time   wall time        host
array-examples/standard_copyInitSum2_true-unreach-call_ground.i                                                                                                                                                  TIMEOUT                     900.86      874.44        None
array-examples/standard_copyInitSum3_true-unreach-call_ground.i                                                                                                                                                  TIMEOUT                     900.90      872.53        None
array-examples/standard_copyInitSum_true-unreach-call_ground.i                                                                                                                                                   TIMEOUT                     900.94      874.02        None
array-examples/standard_copyInit_true-unreach-call_ground.i                                                                                                                                                      TIMEOUT                     901.11      871.88        None
array-examples/standard_find_true-unreach-call_ground.i                                                                                                                                                          TIMEOUT                     900.93      872.31        None
array-examples/standard_init1_true-unreach-call_ground.i                                                                                                                                                         TIMEOUT                     900.77      874.41        None
array-examples/standard_init2_true-unreach-call_ground.i                                                                                                                                                         TIMEOUT                     901.10      870.95        None
array-examples/standard_init3_true-unreach-call_ground.i                                                                                                                                                         TIMEOUT                     900.96      871.81        None
array-examples/standard_init4_true-unreach-call_ground.i                                                                                                                                                         TIMEOUT                     900.95      872.64        None
array-examples/standard_init5_true-unreach-call_ground.i                                                                                                                                                         TIMEOUT                     900.79      876.00        None
array-examples/standard_init6_true-unreach-call_ground.i                                                                                                                                                         TIMEOUT                     900.76      874.90        None
array-examples/standard_init7_true-unreach-call_ground.i                                                                                                                                                         TIMEOUT                     901.06      871.03        None
array-examples/standard_init8_true-unreach-call_ground.i                                                                                                                                                         TIMEOUT                     900.88      874.09        None
array-examples/standard_init9_true-unreach-call_ground.i                                                                                                                                                         TIMEOUT                     900.76      875.16        None
array-examples/standard_maxInArray_true-unreach-call_ground.i                                                                                                                                                    TIMEOUT                     901.13      868.70        None
array-examples/standard_minInArray_true-unreach-call_ground.i                                                                                                                                                    TIMEOUT                     900.81      875.21        None
array-examples/standard_palindrome_true-unreach-call_ground.i                                                                                                                                                    TIMEOUT                     900.87      875.22        None
array-examples/standard_partial_init_true-unreach-call_ground.i                                                                                                                                                  TIMEOUT                     900.95      873.08        None
array-examples/standard_partition_original_true-unreach-call_ground.i                                                                                                                                            TIMEOUT                     901.01      872.73        None
array-examples/standard_partition_true-unreach-call_ground.i                                                                                                                                                     TIMEOUT                     901.10      871.02        None
array-examples/standard_password_true-unreach-call_ground.i                                                                                                                                                      TIMEOUT                     901.01      873.39        None
array-examples/standard_reverse_true-unreach-call_ground.i                                                                                                                                                       TIMEOUT                     900.85      873.72        None
array-examples/standard_running_true-unreach-call.i                                                                                                                                                              TIMEOUT                     901.13      870.37        None
array-examples/standard_sentinel_true-unreach-call_true-termination.i                                                                                                                                            unknown                       5.73        2.44        None
array-examples/standard_seq_init_true-unreach-call_ground.i                                                                                                                                                      TIMEOUT                     900.71      876.75        None
array-examples/standard_strcmp_true-unreach-call_ground.i                                                                                                                                                        TIMEOUT                     901.14      870.15        None
array-examples/standard_strcpy_original_true-unreach-call.i                                                                                                                                                      TIMEOUT                     900.89      874.86        None
array-examples/standard_strcpy_true-unreach-call_ground.i                                                                                                                                                        TIMEOUT                     901.09      871.46        None
array-examples/standard_two_index_01_true-unreach-call.i                                                                                                                                                         TIMEOUT                     909.93      483.77        None
array-examples/standard_two_index_02_true-unreach-call.i                                                                                                                                                         TIMEOUT                     900.91      872.20        None
array-examples/standard_two_index_03_true-unreach-call.i                                                                                                                                                         TIMEOUT                     907.92      529.63        None
array-examples/standard_two_index_04_true-unreach-call.i                                                                                                                                                         TIMEOUT                     900.90      873.83        None
array-examples/standard_two_index_05_true-unreach-call.i                                                                                                                                                         TIMEOUT                     900.87      875.05        None
array-examples/standard_two_index_06_true-unreach-call.i                                                                                                                                                         TIMEOUT                     901.20      587.39        None
array-examples/standard_two_index_07_true-unreach-call.i                                                                                                                                                         TIMEOUT                     900.78      875.75        None
array-examples/standard_two_index_08_true-unreach-call.i                                                                                                                                                         TIMEOUT                     900.86      875.73        None
array-examples/standard_two_index_09_true-unreach-call.i                                                                                                                                                         TIMEOUT                     900.72      876.74        None
array-examples/standard_vararg_true-unreach-call_ground_true-termination.i                                                                                                                                       TIMEOUT                     900.51      647.44        None
array-examples/standard_vector_difference_true-unreach-call_ground.i                                                                                                                                             TIMEOUT                     900.87      873.55        None
array-industry-pattern/array_assert_loop_dep_false-unreach-call_true-termination.i                                                                                                                               TIMEOUT                     900.73      875.91        None
array-industry-pattern/array_of_struct_loop_dep_false-unreach-call.i                                                                                                                                             TIMEOUT                     900.81      873.54        None
array-industry-pattern/array_ptr_single_elem_init_false-unreach-call_true-termination.i                                                                                                                          TIMEOUT                     901.09      867.86        None
array-industry-pattern/array_range_init_false-unreach-call.i                                                                                                                                                     TIMEOUT                     900.92      873.67        None
array-industry-pattern/array_single_elem_init_false-unreach-call_true-termination.i                                                                                                                              TIMEOUT                     901.07      871.16        None
array-industry-pattern/check_removal_from_set_after_insertion_false-unreach-call.i                                                                                                                               TIMEOUT                     901.65      857.95        None
array-industry-pattern/array_monotonic_true-unreach-call_true-termination.i                                                                                                                                      TIMEOUT                     900.77      875.23        None
array-industry-pattern/array_mul_init_true-unreach-call_true-termination.i                                                                                                                                       TIMEOUT                     900.86      873.68        None
array-industry-pattern/array_of_struct_break_true-unreach-call.i                                                                                                                                                 TIMEOUT                     902.75      748.85        None
array-industry-pattern/array_of_struct_ptr_cond_init_true-unreach-call.i                                                                                                                                         TIMEOUT                     901.09      871.46        None
array-industry-pattern/array_of_struct_ptr_flag_init_true-unreach-call.i                                                                                                                                         TIMEOUT                     901.01      871.13        None
array-industry-pattern/array_of_struct_ptr_monotonic_true-unreach-call.i                                                                                                                                         TIMEOUT                     900.88      874.01        None
array-industry-pattern/array_of_struct_ptr_mul_init_true-unreach-call.i                                                                                                                                          TIMEOUT                     901.02      870.33        None
array-industry-pattern/array_of_struct_single_elem_init_true-unreach-call.i                                                                                                                                      TIMEOUT                     901.01      870.84        None
array-industry-pattern/array_ptr_partial_init_true-unreach-call.i                                                                                                                                                TIMEOUT                     900.93      872.88        None
array-industry-pattern/array_ptr_single_elem_init_true-unreach-call.i                                                                                                                                            TIMEOUT                     901.14      868.36        None
array-industry-pattern/array_shadowinit_true-unreach-call_true-termination.i                                                                                                                                     unknown                       4.29        1.64        None
reducercommutativity/rangesum05_false-unreach-call_true-termination.i                                                                                                                                            false(unreach-call)           8.02        2.67        None
reducercommutativity/rangesum10_false-unreach-call_true-termination.i                                                                                                                                            false(unreach-call)           9.58        2.79        None
reducercommutativity/rangesum20_false-unreach-call.i                                                                                                                                                             false(unreach-call)          14.03        3.82        None
reducercommutativity/rangesum40_false-unreach-call.i                                                                                                                                                             false(unreach-call)          22.35        5.57        None
reducercommutativity/rangesum60_false-unreach-call.i                                                                                                                                                             false(unreach-call)          29.50        8.12        None
reducercommutativity/rangesum_false-unreach-call_true-termination.i                                                                                                                                              TIMEOUT                     901.49      857.80        None
reducercommutativity/avg05_true-unreach-call_true-termination.i                                                                                                                                                  TIMEOUT                     900.72      897.15        None
reducercommutativity/avg10_true-unreach-call_true-termination.i                                                                                                                                                  TIMEOUT                     900.71      896.25        None
reducercommutativity/avg20_true-unreach-call.i                                                                                                                                                                   TIMEOUT                     900.82      892.68        None
reducercommutativity/avg40_true-unreach-call.i                                                                                                                                                                   TIMEOUT                     900.92      888.87        None
reducercommutativity/avg60_true-unreach-call.i                                                                                                                                                                   TIMEOUT                     900.99      885.36        None
reducercommutativity/avg_true-unreach-call_true-termination.i                                                                                                                                                    unknown                       5.34        1.96        None
reducercommutativity/max05_true-unreach-call_true-termination.i                                                                                                                                                  unknown                       8.18        2.66        None
reducercommutativity/max10_true-unreach-call_true-termination.i                                                                                                                                                  unknown                      10.01        2.92        None
reducercommutativity/max20_true-unreach-call.i                                                                                                                                                                   unknown                      13.75        3.73        None
reducercommutativity/max40_true-unreach-call.i                                                                                                                                                                   unknown                      22.02        5.88        None
reducercommutativity/max60_true-unreach-call.i                                                                                                                                                                   unknown                      29.14        8.75        None
reducercommutativity/max_true-unreach-call_true-termination.i                                                                                                                                                    unknown                       8.13        2.43        None
reducercommutativity/sep05_true-unreach-call_true-termination.i                                                                                                                                                  unknown                      77.21       26.57        None
reducercommutativity/sep10_true-unreach-call.i                                                                                                                                                                   TIMEOUT                     941.30      223.93        None
reducercommutativity/sep20_true-unreach-call.i                                                                                                                                                                   TIMEOUT                     937.01      328.15        None
reducercommutativity/sep40_true-unreach-call.i                                                                                                                                                                   TIMEOUT                     901.02      870.14        None
reducercommutativity/sep60_true-unreach-call.i                                                                                                                                                                   TIMEOUT                     901.36      844.83        None
reducercommutativity/sep_true-unreach-call_true-termination.i                                                                                                                                                    TIMEOUT                     968.02      214.25        None
reducercommutativity/sum05_true-unreach-call_true-termination.i                                                                                                                                                  unknown                     570.73      566.83        None
reducercommutativity/sum10_true-unreach-call_true-termination.i                                                                                                                                                  TIMEOUT                     901.23      896.82        None
reducercommutativity/sum20_true-unreach-call.i                                                                                                                                                                   TIMEOUT                     901.13      891.96        None
reducercommutativity/sum40_true-unreach-call.i                                                                                                                                                                   TIMEOUT                     900.83      889.01        None
reducercommutativity/sum60_true-unreach-call.i                                                                                                                                                                   TIMEOUT                     900.88      885.88        None
reducercommutativity/sum_true-unreach-call_true-termination.i                                                                                                                                                    unknown                       8.49        2.62        None
array-tiling/mlceu_false-unreach-call.i                                                                                                                                                                          unknown                       4.43        1.57        None
array-tiling/skippedu_false-unreach-call.i                                                                                                                                                                       unknown                       4.32        1.58        None
array-tiling/mbpr2_true-unreach-call.i                                                                                                                                                                           unknown                       4.63        1.66        None
array-tiling/mbpr3_true-unreach-call.i                                                                                                                                                                           unknown                       4.73        1.72        None
array-tiling/mbpr4_true-unreach-call.i                                                                                                                                                                           unknown                       4.85        1.72        None
array-tiling/mbpr5_true-unreach-call.i                                                                                                                                                                           unknown                       4.97        1.72        None
array-tiling/nr2_true-unreach-call.i                                                                                                                                                                             unknown                       4.41        1.66        None
array-tiling/nr3_true-unreach-call.i                                                                                                                                                                             unknown                       4.66        1.75        None
array-tiling/nr4_true-unreach-call.i                                                                                                                                                                             unknown                       4.56        1.61        None
array-tiling/nr5_true-unreach-call.i                                                                                                                                                                             unknown                       4.65        1.66        None
array-tiling/pnr2_true-unreach-call.i                                                                                                                                                                            unknown                       4.75        1.73        None
array-tiling/pnr3_true-unreach-call.i                                                                                                                                                                            unknown                       4.58        1.66        None
array-tiling/pnr4_true-unreach-call.i                                                                                                                                                                            unknown                       4.66        1.65        None
array-tiling/pnr5_true-unreach-call.i                                                                                                                                                                            unknown                       4.59        1.71        None
array-tiling/poly1_true-unreach-call.i                                                                                                                                                                           unknown                       4.48        1.54        None
array-tiling/poly2_true-unreach-call.i                                                                                                                                                                           unknown                       4.46        1.58        None
array-tiling/pr2_true-unreach-call.i                                                                                                                                                                             unknown                       4.54        1.72        None
