   BENCHMARK INFORMATION
benchmark definition:    /u/wel2vw/cpa-symex.xml
name:                    cpa-symex
run sets:                sv-comp18
date:                    Sun, 2021-09-26 11:06:48 EDT
tool:                    CPAchecker 1.9
tool executable:         ./cpa.sh
options:                 -symbolicExecution -heap 10000M -benchmark -timelimit 900s
resource limits:
- memory:                15000.0 MB
- time:                  900 s
- cpu cores:             8
hardware requirements:
- cpu cores:             8
- memory:                15000.0 MB
------------------------------------------------------------

   SYSTEM INFORMATION
host:                    doppio04
os:                      Linux-3.10.0-1127.el7.x86_64-x86_64-with-glibc2.17
cpu:                     Intel Xeon Gold 6130 CPU @ 2.10GHz
- cores:                 64
- max frequency:         3700.0 MHz
- turbo boost enabled:   True
ram:                     134655.91808 MB
------------------------------------------------------------



sv-comp18
Run set 1 of 1 with options '-symbolicExecution -heap 10000M -benchmark -timelimit 900s' and propertyfile 'None'

inputfile                                                                            status                    cpu time   wall time        host
eca-rers2012/Problem04_label55_false-unreach-call.c                                  TIMEOUT                     903.18      532.81        None
eca-rers2012/Problem04_label58_false-unreach-call_false-termination.c                TIMEOUT                     907.20      528.59        None
eca-rers2012/Problem05_label00_false-unreach-call.c                                  TIMEOUT                     901.75      594.25        None
eca-rers2012/Problem05_label01_false-unreach-call.c                                  TIMEOUT                     906.71      587.29        None
eca-rers2012/Problem05_label11_false-unreach-call.c                                  TIMEOUT                     904.79      588.33        None
eca-rers2012/Problem05_label13_false-unreach-call.c                                  TIMEOUT                     905.89      621.50        None
eca-rers2012/Problem05_label15_false-unreach-call.c                                  TIMEOUT                     902.03      590.91        None
eca-rers2012/Problem05_label18_false-unreach-call.c                                  TIMEOUT                     902.22      576.61        None
eca-rers2012/Problem05_label24_false-unreach-call.c                                  TIMEOUT                     903.65      606.01        None
eca-rers2012/Problem05_label26_false-unreach-call.c                                  TIMEOUT                     901.47      615.29        None
eca-rers2012/Problem05_label30_false-unreach-call.c                                  TIMEOUT                     903.25      604.03        None
eca-rers2012/Problem05_label32_false-unreach-call.c                                  TIMEOUT                     905.48      605.47        None
eca-rers2012/Problem05_label33_false-unreach-call.c                                  TIMEOUT                     901.93      600.18        None
eca-rers2012/Problem05_label36_false-unreach-call.c                                  TIMEOUT                     901.35      587.41        None
eca-rers2012/Problem05_label37_false-unreach-call.c                                  TIMEOUT                     902.38      593.49        None
eca-rers2012/Problem05_label38_false-unreach-call.c                                  TIMEOUT                     902.93      577.09        None
eca-rers2012/Problem05_label39_false-unreach-call.c                                  TIMEOUT                     905.57      609.81        None
eca-rers2012/Problem05_label40_false-unreach-call.c                                  TIMEOUT                     902.78      582.85        None
eca-rers2012/Problem05_label41_false-unreach-call.c                                  TIMEOUT                     902.32      579.85        None
eca-rers2012/Problem05_label44_false-unreach-call.c                                  TIMEOUT                     905.28      609.06        None
eca-rers2012/Problem05_label47_false-unreach-call.c                                  TIMEOUT                     904.37      591.13        None
eca-rers2012/Problem05_label48_false-unreach-call.c                                  TIMEOUT                     902.87      603.64        None
eca-rers2012/Problem05_label51_false-unreach-call.c                                  TIMEOUT                     906.02      615.19        None
eca-rers2012/Problem05_label55_false-unreach-call.c                                  TIMEOUT                     902.15      594.67        None
eca-rers2012/Problem05_label57_false-unreach-call.c                                  TIMEOUT                     905.88      591.06        None
eca-rers2012/Problem05_label58_false-unreach-call.c                                  TIMEOUT                     905.00      593.22        None
eca-rers2012/Problem06_label00_false-unreach-call.c                                  TIMEOUT                     903.05      538.01        None
eca-rers2012/Problem06_label01_false-unreach-call.c                                  TIMEOUT                     904.93      547.78        None
eca-rers2012/Problem06_label02_false-unreach-call.c                                  TIMEOUT                     908.05      551.90        None
eca-rers2012/Problem06_label04_false-unreach-call.c                                  TIMEOUT                     908.86      539.50        None
eca-rers2012/Problem06_label05_false-unreach-call.c                                  TIMEOUT                     907.17      532.99        None
eca-rers2012/Problem06_label09_false-unreach-call.c                                  TIMEOUT                     908.24      550.89        None
eca-rers2012/Problem06_label10_false-unreach-call.c                                  TIMEOUT                     903.77      551.64        None
eca-rers2012/Problem06_label11_false-unreach-call.c                                  TIMEOUT                     905.92      551.36        None
eca-rers2012/Problem06_label12_false-unreach-call.c                                  TIMEOUT                     902.31      536.12        None
eca-rers2012/Problem06_label15_false-unreach-call.c                                  TIMEOUT                     902.64      528.91        None
eca-rers2012/Problem06_label20_false-unreach-call.c                                  TIMEOUT                     909.36      541.42        None
eca-rers2012/Problem06_label21_false-unreach-call.c                                  TIMEOUT                     903.96      534.61        None
eca-rers2012/Problem06_label24_false-unreach-call.c                                  TIMEOUT                     909.20      553.91        None
eca-rers2012/Problem06_label27_false-unreach-call.c                                  TIMEOUT                     906.32      539.50        None
eca-rers2012/Problem06_label29_false-unreach-call.c                                  TIMEOUT                     907.56      546.65        None
eca-rers2012/Problem06_label33_false-unreach-call.c                                  TIMEOUT                     907.12      531.00        None
eca-rers2012/Problem06_label36_false-unreach-call.c                                  TIMEOUT                     906.65      537.66        None
eca-rers2012/Problem06_label37_false-unreach-call.c                                  TIMEOUT                     906.79      547.78        None
eca-rers2012/Problem06_label38_false-unreach-call.c                                  TIMEOUT                     905.48      545.71        None
eca-rers2012/Problem06_label44_false-unreach-call.c                                  TIMEOUT                     902.87      548.28        None
eca-rers2012/Problem06_label47_false-unreach-call.c                                  TIMEOUT                     909.43      539.99        None
eca-rers2012/Problem06_label48_false-unreach-call.c                                  TIMEOUT                     907.17      537.69        None
eca-rers2012/Problem06_label56_false-unreach-call.c                                  TIMEOUT                     905.94      545.94        None
eca-rers2012/Problem06_label58_false-unreach-call.c                                  TIMEOUT                     903.53      551.40        None
eca-rers2012/Problem06_label59_false-unreach-call.c                                  TIMEOUT                     904.45      529.76        None
eca-rers2012/Problem07_label03_false-unreach-call.c                                  TIMEOUT                     902.64      834.46        None
eca-rers2012/Problem07_label05_false-unreach-call.c                                  TIMEOUT                     902.84      832.39        None
eca-rers2012/Problem07_label06_false-unreach-call.c                                  TIMEOUT                     902.68      834.51        None
eca-rers2012/Problem07_label07_false-unreach-call.c                                  TIMEOUT                     902.76      833.50        None
eca-rers2012/Problem07_label09_false-unreach-call.c                                  TIMEOUT                     902.96      787.61        None
eca-rers2012/Problem07_label11_false-unreach-call.c                                  TIMEOUT                     902.93      831.70        None
eca-rers2012/Problem07_label15_false-unreach-call.c                                  TIMEOUT                     902.73      835.03        None
eca-rers2012/Problem07_label18_false-unreach-call.c                                  TIMEOUT                     903.27      828.76        None
eca-rers2012/Problem07_label19_false-unreach-call.c                                  TIMEOUT                     902.66      835.47        None
eca-rers2012/Problem07_label20_false-unreach-call.c                                  TIMEOUT                     903.35      763.26        None
eca-rers2012/Problem07_label23_false-unreach-call.c                                  TIMEOUT                     902.58      836.56        None
eca-rers2012/Problem07_label30_false-unreach-call.c                                  TIMEOUT                     902.87      833.20        None
eca-rers2012/Problem07_label31_false-unreach-call.c                                  TIMEOUT                     903.14      817.61        None
eca-rers2012/Problem07_label35_false-unreach-call.c                                  TIMEOUT                     902.59      833.37        None
eca-rers2012/Problem07_label36_false-unreach-call.c                                  TIMEOUT                     902.89      834.05        None
eca-rers2012/Problem07_label37_false-unreach-call.c                                  TIMEOUT                     902.53      835.15        None
eca-rers2012/Problem07_label39_false-unreach-call.c                                  TIMEOUT                     902.38      836.46        None
eca-rers2012/Problem07_label40_false-unreach-call.c                                  TIMEOUT                     902.59      836.41        None
eca-rers2012/Problem07_label42_false-unreach-call.c                                  TIMEOUT                     902.64      834.61        None
eca-rers2012/Problem07_label44_false-unreach-call.c                                  TIMEOUT                     907.65      743.32        None
eca-rers2012/Problem07_label46_false-unreach-call.c                                  TIMEOUT                     902.52      836.24        None
eca-rers2012/Problem07_label47_false-unreach-call.c                                  TIMEOUT                     902.72      833.67        None
eca-rers2012/Problem07_label48_false-unreach-call.c                                  TIMEOUT                     902.96      833.88        None
eca-rers2012/Problem07_label58_false-unreach-call.c                                  TIMEOUT                     903.02      656.18        None
eca-rers2012/Problem08_label01_false-unreach-call.c                                  TIMEOUT                     902.44      836.38        None
eca-rers2012/Problem08_label02_false-unreach-call.c                                  TIMEOUT                     902.16      838.27        None
eca-rers2012/Problem08_label04_false-unreach-call.c                                  TIMEOUT                     902.07      839.01        None
eca-rers2012/Problem08_label05_false-unreach-call.c                                  TIMEOUT                     902.44      836.67        None
eca-rers2012/Problem08_label06_false-unreach-call.c                                  TIMEOUT                     902.94      837.93        None
eca-rers2012/Problem08_label07_false-unreach-call.c                                  TIMEOUT                     902.30      837.04        None
eca-rers2012/Problem08_label10_false-unreach-call.c                                  TIMEOUT                     902.23      834.73        None
eca-rers2012/Problem08_label13_false-unreach-call.c                                  TIMEOUT                     902.25      836.48        None
eca-rers2012/Problem08_label15_false-unreach-call.c                                  TIMEOUT                     902.28      838.84        None
eca-rers2012/Problem08_label24_false-unreach-call.c                                  TIMEOUT                     902.06      835.81        None
eca-rers2012/Problem08_label25_false-unreach-call.c                                  TIMEOUT                     902.05      835.64        None
eca-rers2012/Problem08_label26_false-unreach-call.c                                  TIMEOUT                     902.09      836.73        None
eca-rers2012/Problem08_label28_false-unreach-call.c                                  TIMEOUT                     902.11      838.65        None
eca-rers2012/Problem08_label29_false-unreach-call.c                                  TIMEOUT                     902.09      838.16        None
eca-rers2012/Problem08_label34_false-unreach-call.c                                  TIMEOUT                     902.03      835.97        None
eca-rers2012/Problem08_label37_false-unreach-call.c                                  TIMEOUT                     902.13      837.01        None
eca-rers2012/Problem08_label43_false-unreach-call.c                                  TIMEOUT                     902.01      836.21        None
eca-rers2012/Problem08_label46_false-unreach-call.c                                  TIMEOUT                     902.29      837.35        None
eca-rers2012/Problem08_label48_false-unreach-call.c                                  TIMEOUT                     901.98      838.78        None
eca-rers2012/Problem08_label49_false-unreach-call.c                                  TIMEOUT                     902.11      836.50        None
eca-rers2012/Problem08_label50_false-unreach-call.c                                  TIMEOUT                     902.18      837.02        None
eca-rers2012/Problem08_label51_false-unreach-call.c                                  TIMEOUT                     902.15      838.22        None
eca-rers2012/Problem08_label55_false-unreach-call.c                                  TIMEOUT                     902.20      837.72        None
eca-rers2012/Problem08_label59_false-unreach-call.c                                  TIMEOUT                     902.12      837.13        None
eca-rers2012/Problem09_label02_false-unreach-call.c                                  TIMEOUT                     902.77      829.86        None
eca-rers2012/Problem09_label03_false-unreach-call.c                                  TIMEOUT                     903.07      827.68        None
eca-rers2012/Problem09_label06_false-unreach-call.c                                  TIMEOUT                     903.00      821.26        None
eca-rers2012/Problem09_label08_false-unreach-call.c                                  TIMEOUT                     902.90      822.53        None
eca-rers2012/Problem09_label10_false-unreach-call.c                                  TIMEOUT                     902.96      831.22        None
eca-rers2012/Problem09_label11_false-unreach-call.c                                  TIMEOUT                     903.06      827.86        None
eca-rers2012/Problem09_label15_false-unreach-call.c                                  TIMEOUT                     903.05      829.81        None
eca-rers2012/Problem09_label19_false-unreach-call.c                                  TIMEOUT                     902.68      831.31        None
eca-rers2012/Problem09_label20_false-unreach-call.c                                  TIMEOUT                     902.65      831.37        None
eca-rers2012/Problem09_label32_false-unreach-call.c                                  TIMEOUT                     903.02      833.27        None
eca-rers2012/Problem09_label34_false-unreach-call.c                                  TIMEOUT                     902.48      823.73        None
eca-rers2012/Problem09_label35_false-unreach-call.c                                  TIMEOUT                     903.34      822.70        None
eca-rers2012/Problem09_label36_false-unreach-call.c                                  TIMEOUT                     902.96      822.05        None
eca-rers2012/Problem09_label38_false-unreach-call.c                                  TIMEOUT                     902.97      829.69        None
eca-rers2012/Problem09_label41_false-unreach-call.c                                  TIMEOUT                     902.78      823.30        None
eca-rers2012/Problem09_label44_false-unreach-call.c                                  TIMEOUT                     903.18      830.48        None
eca-rers2012/Problem09_label46_false-unreach-call.c                                  TIMEOUT                     903.25      829.66        None
eca-rers2012/Problem09_label47_false-unreach-call.c                                  TIMEOUT                     903.29      831.56        None
eca-rers2012/Problem09_label51_false-unreach-call.c                                  TIMEOUT                     902.94      829.92        None
eca-rers2012/Problem09_label53_false-unreach-call.c                                  TIMEOUT                     903.37      821.14        None
eca-rers2012/Problem09_label54_false-unreach-call.c                                  TIMEOUT                     902.94      830.18        None
eca-rers2012/Problem09_label56_false-unreach-call.c                                  TIMEOUT                     902.99      827.96        None
eca-rers2012/Problem09_label57_false-unreach-call.c                                  TIMEOUT                     902.76      831.04        None
eca-rers2012/Problem09_label59_false-unreach-call.c                                  TIMEOUT                     902.84      829.97        None
eca-rers2012/Problem10_label12_false-unreach-call.c                                  false(unreach-call)          27.28       11.71        None
eca-rers2012/Problem10_label15_false-unreach-call.c                                  false(unreach-call)          24.36        9.05        None
eca-rers2012/Problem10_label24_false-unreach-call.c                                  false(unreach-call)          31.31       14.83        None
eca-rers2012/Problem10_label26_false-unreach-call.c                                  false(unreach-call)          28.15       12.09        None
eca-rers2012/Problem10_label28_false-unreach-call.c                                  false(unreach-call)          24.20        9.24        None
eca-rers2012/Problem10_label29_false-unreach-call.c                                  false(unreach-call)          22.83        8.17        None
eca-rers2012/Problem10_label41_false-unreach-call.c                                  false(unreach-call)          20.06        6.59        None
eca-rers2012/Problem10_label42_false-unreach-call.c                                  false(unreach-call)          12.02        3.16        None
eca-rers2012/Problem10_label46_false-unreach-call.c                                  false(unreach-call)           8.83        2.51        None
eca-rers2012/Problem10_label47_false-unreach-call.c                                  false(unreach-call)          23.40        8.97        None
eca-rers2012/Problem10_label48_false-unreach-call.c                                  false(unreach-call)          23.19        8.38        None
