   BENCHMARK INFORMATION
benchmark definition:    /u/wel2vw/cpa-bmc-kInd.xml
name:                    cpa-bmc-kInd
run sets:                sv-comp18
date:                    Wed, 2021-09-22 15:58:45 EDT
tool:                    CPAchecker 1.9
tool executable:         ./cpa.sh
options:                 -bmc-induction -heap 10000M -benchmark -timelimit 900s
resource limits:
- memory:                15000.0 MB
- time:                  900 s
- cpu cores:             8
hardware requirements:
- cpu cores:             8
- memory:                15000.0 MB
------------------------------------------------------------

   SYSTEM INFORMATION
host:                    doppio02
os:                      Linux-3.10.0-1127.el7.x86_64-x86_64-with-glibc2.17
cpu:                     Intel Xeon Gold 6130 CPU @ 2.10GHz
- cores:                 64
- max frequency:         3700.0 MHz
- turbo boost enabled:   True
ram:                     134655.91808 MB
------------------------------------------------------------



sv-comp18
Run set 1 of 1 with options '-bmc-induction -heap 10000M -benchmark -timelimit 900s' and propertyfile 'None'

inputfile                                                                                                                                                                                                        status                    cpu time   wall time        host
array-examples/standard_copyInitSum2_true-unreach-call_ground.i                                                                                                                                                  TIMEOUT                     900.64      430.62        None
array-examples/standard_copyInitSum3_true-unreach-call_ground.i                                                                                                                                                  TIMEOUT                     900.46      431.09        None
array-examples/standard_copyInitSum_true-unreach-call_ground.i                                                                                                                                                   TIMEOUT                     900.74      430.07        None
array-examples/standard_copyInit_true-unreach-call_ground.i                                                                                                                                                      TIMEOUT                     902.47      429.77        None
array-examples/standard_find_true-unreach-call_ground.i                                                                                                                                                          TIMEOUT                     901.42      401.09        None
array-examples/standard_init1_true-unreach-call_ground.i                                                                                                                                                         TIMEOUT                     901.67      423.66        None
array-examples/standard_init2_true-unreach-call_ground.i                                                                                                                                                         TIMEOUT                     901.29      426.36        None
array-examples/standard_init3_true-unreach-call_ground.i                                                                                                                                                         TIMEOUT                     901.97      419.28        None
array-examples/standard_init4_true-unreach-call_ground.i                                                                                                                                                         TIMEOUT                     901.37      419.48        None
array-examples/standard_init5_true-unreach-call_ground.i                                                                                                                                                         TIMEOUT                     901.72      415.64        None
array-examples/standard_init6_true-unreach-call_ground.i                                                                                                                                                         TIMEOUT                     902.36      416.23        None
array-examples/standard_init7_true-unreach-call_ground.i                                                                                                                                                         TIMEOUT                     901.12      415.99        None
array-examples/standard_init8_true-unreach-call_ground.i                                                                                                                                                         TIMEOUT                     901.67      411.69        None
array-examples/standard_init9_true-unreach-call_ground.i                                                                                                                                                         TIMEOUT                     900.87      412.80        None
array-examples/standard_maxInArray_true-unreach-call_ground.i                                                                                                                                                    TIMEOUT                     902.20      431.56        None
array-examples/standard_minInArray_true-unreach-call_ground.i                                                                                                                                                    TIMEOUT                     901.05      428.12        None
array-examples/standard_palindrome_true-unreach-call_ground.i                                                                                                                                                    TIMEOUT                     901.80      426.28        None
array-examples/standard_partial_init_true-unreach-call_ground.i                                                                                                                                                  TIMEOUT                     902.29      431.79        None
array-examples/standard_partition_original_true-unreach-call_ground.i                                                                                                                                            TIMEOUT                     901.54      418.90        None
array-examples/standard_partition_true-unreach-call_ground.i                                                                                                                                                     TIMEOUT                     900.94      428.02        None
array-examples/standard_password_true-unreach-call_ground.i                                                                                                                                                      TIMEOUT                     901.75      419.93        None
array-examples/standard_reverse_true-unreach-call_ground.i                                                                                                                                                       TIMEOUT                     902.22      432.98        None
array-examples/standard_running_true-unreach-call.i                                                                                                                                                              TIMEOUT                     902.52      432.08        None
array-examples/standard_sentinel_true-unreach-call_true-termination.i                                                                                                                                            TIMEOUT                     901.86      433.03        None
array-examples/standard_seq_init_true-unreach-call_ground.i                                                                                                                                                      TIMEOUT                     902.77      433.83        None
array-examples/standard_strcmp_true-unreach-call_ground.i                                                                                                                                                        TIMEOUT                     900.64      413.71        None
array-examples/standard_strcpy_original_true-unreach-call.i                                                                                                                                                      TIMEOUT                     900.47      428.39        None
array-examples/standard_strcpy_true-unreach-call_ground.i                                                                                                                                                        TIMEOUT                     901.39      417.32        None
array-examples/standard_two_index_01_true-unreach-call.i                                                                                                                                                         TIMEOUT                     900.71      429.25        None
array-examples/standard_two_index_02_true-unreach-call.i                                                                                                                                                         TIMEOUT                     901.15      428.80        None
array-examples/standard_two_index_03_true-unreach-call.i                                                                                                                                                         TIMEOUT                     901.19      429.85        None
array-examples/standard_two_index_04_true-unreach-call.i                                                                                                                                                         TIMEOUT                     901.06      428.49        None
array-examples/standard_two_index_05_true-unreach-call.i                                                                                                                                                         TIMEOUT                     901.56      429.93        None
array-examples/standard_two_index_06_true-unreach-call.i                                                                                                                                                         TIMEOUT                     901.37      428.16        None
array-examples/standard_two_index_07_true-unreach-call.i                                                                                                                                                         TIMEOUT                     900.66      427.71        None
array-examples/standard_two_index_08_true-unreach-call.i                                                                                                                                                         TIMEOUT                     902.72      430.75        None
array-examples/standard_two_index_09_true-unreach-call.i                                                                                                                                                         TIMEOUT                     901.06      429.25        None
array-examples/standard_vararg_true-unreach-call_ground_true-termination.i                                                                                                                                       TIMEOUT                     902.45      418.21        None
